Country Code,City,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes,name_length,address_length
216,36,209,-93.739573,41.600564,151,25,0,0,2,4.1,496,10,36
216,36,209,-93.760027,41.60028,121,25,0,0,2,4.0,411,21,49
216,36,294,-93.627896,41.583309,1167,25,0,0,2,3.2,113,4,41
216,36,294,-93.6300803,41.5857431,1098,40,0,0,3,4.5,1109,6,36
216,36,294,-93.621631,41.585465,574,25,0,0,2,4.6,728,12,36
216,36,294,-93.637401,41.587219,158,10,0,0,1,4.4,659,17,38
216,36,294,-93.620726,41.58536,90,40,0,0,3,4.2,370,28,35
216,36,294,-93.629436,41.584027,916,40,0,0,3,4.3,532,6,37
216,36,304,-93.611366,41.590819,1126,25,0,0,2,4.8,860,8,37
216,36,304,-93.61474,41.590106,309,10,0,0,1,4.2,943,25,39
216,36,321,-93.577383,41.601415,69,70,0,0,4,4.1,476,18,38
216,36,380,-93.645245,41.545869,497,10,0,0,1,4.1,218,16,35
216,36,492,-93.6976773,41.6714654,279,10,0,0,1,4.0,214,14,39
216,36,538,-93.659797,41.603901,11,25,0,0,2,4.3,699,12,37
216,36,1123,-93.772033,41.615083,21,25,0,0,2,3.8,308,27,39
216,36,1178,-93.73624,41.594039,1165,25,0,0,2,4.0,157,9,40
216,36,1178,-93.7441981,41.5991771,1693,40,0,0,3,4.2,530,25,46
14,37,282,153.137401,-26.783576,620,7,0,0,1,3.6,29,17,34
216,40,298,-90.667668,42.504759,268,10,0,0,1,3.4,33,16,31
216,40,298,-90.6499328,42.5124724,1667,25,0,0,2,3.3,40,17,33
216,40,298,-90.6684746,42.5032004,1212,10,0,0,1,3.4,153,26,31
216,40,298,-90.658609,42.496464,14,25,0,0,2,3.3,65,11,30
216,40,298,-90.664029,42.495689,1031,25,0,0,2,3.4,58,16,34
216,40,298,-90.715247,42.492018,35,25,0,0,2,3.5,100,17,33
216,40,298,-90.740213,42.49092,1212,10,0,0,1,3.6,156,13,35
216,40,298,-90.7264,42.4955,784,0,0,0,1,3.5,74,29,33
216,40,298,-90.645294,42.516621,29,25,0,0,2,3.6,117,10,41
216,40,298,-90.712084,42.492963,1125,40,0,0,3,3.7,83,38,38
216,40,298,-90.6646,42.5043,29,25,0,0,2,3.6,48,28,34
216,40,298,-90.668164,42.503075,1026,40,0,0,3,3.8,198,13,31
216,40,298,-90.7055,42.4916,1212,10,0,0,1,3.5,126,11,32
216,40,298,-90.6677349,42.500191,281,10,0,0,1,3.5,119,21,32
216,40,298,-90.6691,42.5048,69,25,0,0,2,3.6,140,26,31
216,40,298,-90.6651,42.4974,6,40,0,0,3,3.6,159,26,30
216,40,298,-90.6658,42.4963,1098,25,0,0,2,3.6,131,14,32
216,40,298,-90.663686,42.4982789,22,10,0,0,1,3.5,60,26,34
216,40,298,-90.684882,42.527556,34,25,0,0,2,3.7,89,14,35
216,40,298,-90.658988,42.496378,98,70,0,0,4,3.6,72,15,34
14,41,302,153.593331,-28.862663,331,20,0,0,2,4.1,56,17,37
216,44,325,-119.252694,39.607515,1212,10,0,0,1,3.7,83,36,37
14,45,328,152.8771473,-26.6521332,1793,30,0,0,3,3.5,37,15,31
14,46,330,143.714315,-38.517292,343,20,0,0,2,3.7,29,15,25
216,47,137,-83.8461,34.0901,92,25,0,0,2,4.4,239,26,51
216,47,206,-83.520693,34.61802,171,10,0,0,1,4.1,235,29,40
216,47,264,-83.985353,34.532973,31,25,0,0,2,3.8,88,21,35
216,47,264,-83.9858,34.5318,1818,40,0,0,3,3.9,209,14,33
216,47,264,-83.983939,34.533626,168,10,0,0,1,3.9,133,15,33
216,47,264,-83.989317,34.541044,537,10,0,0,1,4.4,267,32,43
216,47,264,-83.986119,34.533198,221,25,0,0,2,4.1,171,22,40
216,47,329,-83.938024,34.183573,1667,25,0,0,2,3.8,107,26,46
216,47,329,-83.926217,34.185707,100,40,0,0,3,4.3,164,10,44
216,47,329,-83.927794,34.180043,175,10,0,0,1,4.1,182,23,46
216,47,345,-83.838457,34.285102,1663,25,0,0,2,4.9,681,30,52
216,47,345,-83.857993,34.300182,1795,10,0,0,1,4.6,357,11,42
216,47,345,-83.860098,34.222755,168,25,0,0,2,3.8,89,28,73
216,47,345,-83.824023,34.300567,53,25,0,0,2,4.2,350,5,39
216,47,345,-83.8272,34.3166,1738,10,0,0,1,4.3,298,15,45
216,47,345,-83.82686,34.300332,100,25,0,0,2,4.2,319,7,41
216,47,407,-83.727741,34.701594,924,40,0,0,3,3.8,114,8,34
216,47,407,-83.7345,34.7024,925,10,0,0,1,3.9,136,21,31
216,47,407,-83.7334,34.7021,316,25,0,0,2,2.2,108,12,37
216,47,407,-83.713498,34.691208,1104,10,0,0,1,4.0,161,39,32
14,52,409,144.1387014,-37.3123267,367,20,0,0,2,3.8,192,19,50
14,52,409,144.110062,-37.275494,1072,7,0,0,1,3.8,93,25,47
14,53,443,150.6710743,-35.0388698,280,20,0,0,2,4.1,40,13,26
14,57,465,145.7287133,-38.6347458,304,7,0,0,1,3.7,100,14,30
14,64,566,147.9942247,-37.8783865,272,7,0,0,1,3.8,97,13,35
216,65,567,-120.3458,42.1885,308,10,0,0,1,3.6,41,21,30
216,66,405,-96.7072,40.8143,1795,25,0,0,2,4.5,799,27,32
14,68,601,151.558475,-32.728097,272,20,0,0,2,3.6,18,21,25
14,71,616,144.564174,-37.423189,331,20,0,0,2,3.5,31,3,28
216,72,131,-83.594494,32.567741,613,25,0,0,2,3.9,146,19,38
216,72,617,-83.657061,32.853896,1639,10,0,0,1,4.9,478,23,35
216,72,617,-83.6737,32.8496,1667,25,0,0,2,4.6,467,30,35
216,72,617,-83.6766,32.8899,588,25,0,0,2,4.5,302,27,34
216,72,617,-83.6279,32.8361,306,25,0,0,2,4.5,289,7,30
216,72,617,-83.627979,32.83641,1818,40,0,0,3,3.8,102,8,30
216,72,617,-83.713978,32.929278,94,40,0,0,3,4.1,293,14,34
216,72,617,-83.6276,32.8375,1743,70,0,0,4,4.0,195,14,32
216,72,617,-83.628703,32.83654,773,10,0,0,1,4.3,244,17,30
216,72,617,-83.787993,32.928495,813,70,0,0,4,4.2,379,9,36
216,72,617,-83.6873,32.901,941,10,0,0,1,4.2,223,37,37
216,72,1170,-83.662421,32.556873,40,25,0,0,2,3.7,243,24,47
216,72,1170,-83.624,32.5786,1031,25,0,0,2,3.7,104,16,38
216,72,1170,-83.6665,32.6184,1130,10,0,0,1,3.7,153,21,47
216,72,1170,-83.691044,32.552684,1640,25,0,0,2,3.8,323,19,42
216,72,1170,-83.64935,32.594666,1212,10,0,0,1,4.1,181,33,42
216,72,1170,-83.636618,32.6176839,63,25,0,0,2,4.0,316,13,41
